Codice Prodotto,Nome Prodotto,Categoria,Prezzo
P00001,Pro Sport 659,Sport,1282.56
P00002,Pro Informatica 631,Informatica,71.94
P00003,Eco Abbigliamento 319,Abbigliamento,1341.09
P00004,Pro Giardinaggio 534,Giardinaggio,238.96
P00005,Air Sport 845,Sport,546.59
P00006,Mini Automotive 891,Automotive,436.75
P00007,Prime Giochi 904,Giochi,932.16
P00008,Prime Abbigliamento 438,Abbigliamento,1686.41
P00009,Mini Informatica 886,Informatica,734.15
P00010,Smart Informatica 591,Informatica,696.02
P00011,Air Abbigliamento 738,Abbigliamento,708.75
P00012,Mini Sport 498,Sport,1379.48
P00013,Mini Giardinaggio 278,Giardinaggio,1041.91
P00014,Eco Giochi 89,Giochi,1562.27
P00015,Air Arredamento 383,Arredamento,1890.69
P00016,Mini Telefonia 520,Telefonia,665.26
P00017,Prime Automotive 39,Automotive,433.98
P00018,Eco Telefonia 289,Telefonia,1848.84
P00019,Max Giochi 364,Giochi,1826.35
P00020,Lite Giardinaggio 713,Giardinaggio,557.48
P00021,Prime Informatica 385,Informatica,1063.4
P00022,Max Bellezza 431,Bellezza,1926.72
P00023,Pro Telefonia 845,Telefonia,1264.14
P00024,Pro Sport 650,Sport,1207.25
P00025,Pro Elettrodomestici 652,Elettrodomestici,943.09
P00026,Plus Arredamento 620,Arredamento,1399.96
P00027,Ultra Informatica 982,Informatica,1757.66
P00028,Air Telefonia 491,Telefonia,1039.84
P00029,Plus Giardinaggio 557,Giardinaggio,1784.72
P00030,Eco Arredamento 473,Arredamento,1306.92
P00031,Pro Giochi 734,Giochi,1572.31
P00032,Plus Giochi 31,Giochi,1024.61
P00033,Max Telefonia 765,Telefonia,1513.22
P00034,Prime Sport 405,Sport,1674.52
P00035,Pro Sport 587,Sport,1719.19
P00036,Eco Arredamento 175,Arredamento,1973.33
P00037,Mini Automotive 855,Automotive,874.04
P00038,Mini Elettrodomestici 71,Elettrodomestici,18.56
P00039,Eco Informatica 625,Informatica,113.11
P00040,Prime Automotive 785,Automotive,1097.49
P00041,Air Abbigliamento 757,Abbigliamento,1182.08
P00042,Pro Sport 400,Sport,870.64
P00043,Eco Sport 712,Sport,149.62
P00044,Lite Automotive 459,Automotive,1243.51
P00045,Ultra Bellezza 933,Bellezza,946.05
P00046,Lite Bellezza 180,Bellezza,741.07
P00047,Air Bellezza 775,Bellezza,678.25
P00048,Plus Giardinaggio 473,Giardinaggio,1173.77
P00049,Plus Bellezza 816,Bellezza,1596.28
P00050,Mini Giochi 391,Giochi,64.59
P00051,Lite Abbigliamento 916,Abbigliamento,1020.97
P00052,Prime Informatica 49,Informatica,718.77
P00053,Plus Telefonia 813,Telefonia,627.74
P00054,Smart Bellezza 365,Bellezza,1082.5
P00055,Air Bellezza 825,Bellezza,739.94
P00056,Air Automotive 219,Automotive,976.23
P00057,Smart Abbigliamento 5,Abbigliamento,1157.23
P00058,Plus Telefonia 78,Telefonia,1504.98
P00059,Air Arredamento 972,Arredamento,1302.95
P00060,Air Informatica 357,Informatica,1208.32
P00061,Air Informatica 912,Informatica,969.05
P00062,Lite Giochi 613,Giochi,99.81
P00063,Plus Informatica 925,Informatica,1021.85
P00064,Mini Telefonia 687,Telefonia,149.56
P00065,Pro Sport 93,Sport,1186.17
P00066,Smart Bellezza 726,Bellezza,1467.13
