ID Vendita,Data Vendita,ID Prodotto,ID Cliente,Quantità,Prezzo Unitario,Importo Totale
S00001,27/01/2024,P00076,C1014,3,616.81,1850.43
S00002,24/11/2023,P00030,C1088,1,417.74,417.74
S00003,26/12/2023,P00012,C1030,12,631.5,7578.0
S00004,07/05/2024,P00250,C1055,19,853.34,16213.46
S00005,03/09/2024,P00287,C1041,11,613.46,6748.06
S00006,13/06/2024,P00175,C1010,16,458.77,7340.32
S00007,09/09/2024,P00287,C1043,5,613.46,3067.3
S00008,23/08/2024,P00042,C1021,4,256.23,1024.92
S00009,08/08/2024,P00243,C1061,11,17.89,196.79
S00010,17/06/2024,P00044,C1063,11,668.45,7352.95
S00011,26/08/2024,P00296,C1004,10,969.27,9692.7
S00012,02/02/2024,P00158,C1009,16,341.41,5462.56
S00013,30/09/2024,P00210,C1013,5,251.91,1259.55
S00014,04/08/2024,P00026,C1017,19,621.02,11799.38
S00015,07/01/2024,P00075,C1094,19,978.04,18582.76
S00016,05/12/2023,P00046,C1090,6,935.87,5615.22
S00017,27/04/2024,P00279,C1015,9,214.69,1932.21
S00018,07/04/2024,P00108,C1041,12,906.66,10879.92
S00019,31/01/2024,P00269,C1086,18,713.2,12837.6
S00020,11/11/2023,P00088,C1044,10,637.46,6374.6
S00021,25/10/2023,P00068,C1024,15,413.91,6208.65
S00022,03/05/2024,P00222,C1065,19,123.25,2341.75
S00023,06/06/2024,P00012,C1097,18,631.5,11367.0
S00024,04/08/2024,P00221,C1054,19,673.36,12793.84
S00025,09/02/2024,P00226,C1012,20,902.89,18057.8
S00026,04/09/2024,P00139,C1060,11,321.54,3536.94
S00027,08/09/2024,P00222,C1075,8,123.25,986.0
S00028,19/07/2024,P00163,C1027,9,301.43,2712.87
S00029,03/01/2024,P00037,C1005,15,456.23,6843.45
S00030,27/06/2024,P00130,C1094,15,560.73,8410.95
S00031,17/04/2024,P00178,C1076,1,917.53,917.53
S00032,21/11/2023,P00094,C1097,7,38.96,272.72
S00033,25/07/2024,P00019,C1058,4,697.46,2789.84
S00034,22/01/2024,P00093,C1075,13,363.4,4724.2
S00035,07/07/2024,P00208,C1050,4,356.19,1424.76
S00036,16/02/2024,P00019,C1094,1,697.46,697.46
S00037,12/04/2024,P00291,C1008,16,88.59,1417.44
S00038,14/09/2024,P00046,C1042,20,935.87,18717.4
S00039,09/01/2024,P00225,C1082,7,525.37,3677.59
S00040,01/05/2024,P00080,C1001,1,643.54,643.54
S00041,18/09/2024,P00249,C1016,11,378.02,4158.22
S00042,13/09/2024,P00248,C1075,19,679.35,12907.65
S00043,23/06/2024,P00041,C1097,9,495.31,4457.79
