Data Vendita,Prodotto,Regione,Venditore,Quantità,Prezzo Unitario,Importo Totale
19/08/2023,Prodotto 64,Est,Venditore 16,84,669.98,56278.32
20/09/2023,Prodotto 9,Est,Venditore 9,92,509.73,46895.16
29/03/2024,Prodotto 22,Est,Venditore 13,94,871.35,81906.9
16/09/2024,Prodotto 23,Est,Venditore 3,30,474.62,14238.6
14/03/2024,Prodotto 23,Centro,Venditore 20,40,899.97,35998.8
26/05/2023,Prodotto 27,Nord,Venditore 1,57,166.82,9508.74
15/10/2023,Prodotto 89,Ovest,Venditore 7,59,934.19,55117.21
30/05/2023,Prodotto 69,Est,Venditore 2,93,606.52,56406.36
27/08/2024,Prodotto 18,Centro,Venditore 12,36,475.46,17116.56
11/01/2023,Prodotto 33,Nord,Venditore 16,96,680.87,65363.52
19/11/2022,Prodotto 85,Centro,Venditore 6,3,900.91,2702.73
19/12/2023,Prodotto 30,Centro,Venditore 8,87,805.19,70051.53
19/10/2022,Prodotto 60,Nord,Venditore 5,94,394.19,37053.86
08/06/2023,Prodotto 51,Ovest,Venditore 1,25,256.13,6403.25
12/08/2023,Prodotto 51,Centro,Venditore 14,67,561.08,37592.36
17/12/2023,Prodotto 81,Ovest,Venditore 14,8,574.59,4596.72
03/10/2024,Prodotto 8,Ovest,Venditore 8,17,566.37,9628.29
27/04/2024,Prodotto 11,Centro,Venditore 18,71,196.27,13935.17
16/05/2024,Prodotto 77,Centro,Venditore 9,96,342.02,32833.92
19/03/2024,Prodotto 48,Nord,Venditore 14,49,963.49,47211.01
14/02/2024,Prodotto 83,Nord,Venditore 19,89,816.94,72707.66
07/05/2024,Prodotto 23,Centro,Venditore 4,4,655.95,2623.8
14/09/2024,Prodotto 47,Centro,Venditore 15,16,568.28,9092.48
03/10/2023,Prodotto 67,Ovest,Venditore 11,85,982.11,83479.35
03/06/2024,Prodotto 32,Sud,Venditore 5,62,74.17,4598.54
08/06/2024,Prodotto 99,Centro,Venditore 12,72,332.57,23945.04
15/07/2023,Prodotto 72,Sud,Venditore 2,51,342.22,17453.22
04/03/2024,Prodotto 62,Sud,Venditore 4,83,48.61,4034.63
03/09/2024,Prodotto 94,Est,Venditore 7,14,803.65,11251.1
13/02/2023,Prodotto 24,Centro,Venditore 20,10,947.23,9472.3
30/11/2022,Prodotto 17,Centro,Venditore 5,83,951.88,79006.04
16/12/2022,Prodotto 24,Ovest,Venditore 9,98,398.0,39004.0
22/05/2023,Prodotto 31,Ovest,Venditore 18,34,182.97,6220.98
20/05/2024,Prodotto 90,Est,Venditore 5,14,463.38,6487.32
29/05/2024,Prodotto 37,Centro,Venditore 1,95,570.51,54198.45
07/11/2022,Prodotto 41,Ovest,Venditore 5,43,51.82,2228.26
14/11/2023,Prodotto 78,Est,Venditore 11,60,587.59,35255.4
20/05/2024,Prodotto 90,Centro,Venditore 12,92,794.36,73081.12
08/12/2022,Prodotto 87,Centro,Venditore 17,1,600.49,600.49
03/10/2024,Prodotto 63,Sud,Venditore 20,49,684.62,33546.38
06/09/2023,Prodotto 26,Centro,Venditore 9,72,222.32,16007.04
24/07/2023,Prodotto 53,Est,Venditore 16,46,816.98,37581.08
23/12/2022,Prodotto 4,Est,Venditore 4,13,902.09,11727.17
10/10/2023,Prodotto 96,Centro,Venditore 19,20,231.69,4633.8
16/08/2023,Prodotto 24,Est,Venditore 20,43,172.76,7428.68
18/03/2024,Prodotto 97,Ovest,Venditore 9,59,755.09,44550.31
15/03/2024,Prodotto 37,Est,Venditore 16,63,759.93,47875.59
16/04/2023,Prodotto 48,Ovest,Venditore 4,87,588.08,51162.96
25/03/2023,Prodotto 45,Nord,Venditore 6,91,294.75,26822.25
07/05/2024,Prodotto 73,Sud,Venditore 17,18,489.34,8808.12
18/04/2024,Prodotto 52,Sud,Venditore 9,83,615.09,51052.47
28/08/2024,Prodotto 78,Nord,Venditore 6,34,855.49,29086.66
04/06/2023,Prodotto 13,Ovest,Venditore 14,25,535.84,13396.0
04/03/2023,Prodotto 53,Ovest,Venditore 3,26,739.07,19215.82
24/03/2024,Prodotto 82,Ovest,Venditore 10,18,799.07,14383.26
29/11/2023,Prodotto 43,Est,Venditore 16,19,654.49,12435.31
06/07/2023,Prodotto 6,Ovest,Venditore 14,12,505.33,6063.96
25/03/2023,Prodotto 40,Ovest,Venditore 4,62,91.99,5703.38
13/08/2024,Prodotto 27,Nord,Venditore 18,89,340.62,30315.18
19/11/2022,Prodotto 74,Centro,Venditore 9,6,813.56,4881.36
18/07/2024,Prodotto 83,Nord,Venditore 7,63,860.22,54193.86
29/11/2023,Prodotto 88,Centro,Venditore 18,15,697.05,10455.75
30/05/2023,Prodotto 7,Ovest,Venditore 11,48,401.24,19259.52
01/03/2024,Prodotto 25,Nord,Venditore 1,93,528.59,49158.87
29/10/2022,Prodotto 11,Centro,Venditore 15,12,976.02,11712.24
12/08/2023,Prodotto 66,Nord,Venditore 6,52,299.79,15589.08
29/01/2024,Prodotto 16,Nord,Venditore 5,99,448.1,44361.9
14/11/2023,Prodotto 21,Est,Venditore 19,69,756.98,52231.62
21/08/2024,Prodotto 59,Sud,Venditore 20,42,399.2,16766.4
21/05/2024,Prodotto 31,Nord,Venditore 7,91,759.63,69126.33
09/05/2024,Prodotto 68,Nord,Venditore 19,99,724.63,71738.37
15/02/2024,Prodotto 22,Ovest,Venditore 16,71,345.87,24556.77
19/07/2024,Prodotto 19,Sud,Venditore 4,43,443.09,19052.87
18/02/2023,Prodotto 100,Est,Venditore 13,54,502.64,27142.56
17/11/2023,Prodotto 13,Est,Venditore 12,49,780.72,38255.28
15/06/2023,Prodotto 76,Centro,Venditore 11,16,71.81,1148.96
17/09/2023,Prodotto 86,Sud,Venditore 13,97,723.42,70171.74
20/07/2023,Prodotto 27,Centro,Venditore 7,12,871.26,10455.12
05/10/2023,Prodotto 92,Ovest,Venditore 13,34,499.42,16980.28
16/04/2023,Prodotto 53,Centro,Venditore 10,99,193.22,19128.78
26/02/2024,Prodotto 84,Nord,Venditore 13,97,340.46,33024.62
10/02/2024,Prodotto 32,Ovest,Venditore 9,83,860.1,71388.3
12/10/2024,Prodotto 28,Ovest,Venditore 12,72,505.66,36407.52
09/05/2023,Prodotto 47,Centro,Venditore 12,80,430.7,34456.0
19/11/2023,Prodotto 80,Nord,Venditore 7,77,341.46,26292.42
06/03/2023,Prodotto 77,Ovest,Venditore 10,28,41.49,1161.72
22/07/2024,Prodotto 57,Centro,Venditore 14,92,838.11,77106.12
11/12/2022,Prodotto 84,Nord,Venditore 5,58,577.32,33484.56
26/04/2024,Prodotto 13,Sud,Venditore 17,39,131.99,5147.61
14/12/2023,Prodotto 58,Est,Venditore 12,26,346.71,9014.46
13/08/2024,Prodotto 10,Nord,Venditore 3,90,934.27,84084.3
11/05/2024,Prodotto 59,Nord,Venditore 17,40,600.88,24035.2
31/08/2023,Prodotto 85,Sud,Venditore 17,41,453.88,18609.08
22/09/2023,Prodotto 2,Ovest,Venditore 9,69,19.02,1312.38
28/08/2023,Prodotto 77,Nord,Venditore 19,93,704.4,65509.2
04/09/2023,Prodotto 84,Sud,Venditore 18,86,270.47,23260.42
12/07/2024,Prodotto 61,Nord,Venditore 18,72,838.44,60367.68
18/03/2023,Prodotto 2,Sud,Venditore 3,71,331.98,23570.58
14/06/2023,Prodotto 4,Est,Venditore 18,23,42.25,971.75
08/03/2023,Prodotto 71,Nord,Venditore 19,8,54.3,434.4
14/01/2023,Prodotto 44,Est,Venditore 5,82,955.47,78348.54
13/09/2024,Prodotto 86,Sud,Venditore 6,56,65.97,3694.32
14/06/2023,Prodotto 9,Ovest,Venditore 9,26,380.13,9883.38
10/06/2024,Prodotto 45,Sud,Venditore 4,73,204.89,14956.97
12/01/2023,Prodotto 53,Est,Venditore 16,11,752.74,8280.14
10/09/2024,Prodotto 85,Est,Venditore 5,39,741.65,28924.35
